Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
8,5,19.65905065889413,328.79579598241304,229.0128184814016,3406.8787861958126
9,5,19.44664578801746,328.58409060412663,228.1080882440528,3406.3504404649925
10,5,19.17177829849309,330.1833325100248,228.64736398821242,3407.4403973951353
11,5,19.481046030613673,328.82688362750025,229.908631016954,3406.507442123972
12,5,20.2349263899905,330.12161104476115,228.71945013218465,3407.135417059828
13,5,19.980459427684547,330.0762405514047,228.66283288567027,3406.3741352679554
14,5,20.07056592761478,329.67863011915676,227.8636760529925,3407.567411392352
15,5,18.799356094036092,329.20493161630674,228.5000580799296,3407.0076294703763
16,5,19.472339510532674,328.9164873561341,229.30915561036986,3407.5356373220798
17,5,19.809729213674437,330.02079914008704,229.42698024700982,3407.4623335423576
18,5,19.586897370132203,329.1008086944062,229.0008123526365,3407.310419638797
19,5,18.61992841940226,329.6100921115278,228.28148093204044,3408.294310088087
0,10,37.25924983055858,315.46455208080386,219.4582092547247,3340.4387130741034
1,10,36.61017006026019,315.8839838237414,219.65872629978065,3341.0962927914593
2,10,36.7567730056238,315.49667272746,218.87626666506213,3340.560720959903
3,10,37.83464492787613,316.1586318663538,219.77847973353,3340.1373724884393
4,10,37.36167907484569,314.6293549205491,219.70236960855954,3341.947559439245
5,10,37.01450778396109,314.26387187330226,219.20305298674242,3340.8249578626564
6,10,37.0261522143801,314.92585748703897,220.1040132594818,3340.3545846405036
7,10,36.72960304525398,314.9422955394889,218.9993387647267,3341.55811223593
8,10,37.259432505867416,316.07581748019857,219.33916462277375,3340.7817476935006
9,10,36.98965444730028,314.9399448859318,219.82501950144308,3341.7294402986913
10,10,37.69936981473623,314.43803762148127,218.1983834358378,3342.2417983898467
11,10,37.67560542270835,314.8309549355568,219.6013155388668,3341.9408661238713
12,10,38.09568024896437,315.6524732836099,219.4952803437202,3342.265236167411
13,10,37.86899502563128,315.24427797580273,219.46034772055827,3342.3225042858357
14,10,37.32133378521877,316.3573355621771,219.215258262506,3342.750565937875
15,10,36.60697335593713,315.3172522665059,218.51692450001042,3343.2322987420007
16,10,37.564100727455106,315.20429762733454,218.74343946049302,3343.622229972744
17,10,38.00693968766889,314.59815981555573,219.0011191090171,3342.2791788339214
18,10,36.782268358649524,314.9708303139322,219.4677415467883,3342.0820704162993
19,10,37.56491654332819,315.1120718063765,219.33491189835374,3343.4553184117262
0,15,53.352565358990205,302.1426835076322,210.13398701494563,3281.9784597539574
1,15,53.20604134951472,301.8456077829799,211.47982193385923,3282.4977317409553
2,15,52.30895159754343,300.61736248887513,210.79950133425652,3282.996461658477
3,15,52.88896826796133,302.0992072354849,210.39041625364564,3282.4477402566363
4,15,52.49241979437914,302.74568809792817,210.5609526570174,3283.0345352625964
5,15,53.20749756799279,303.4068967628362,210.6607319095203,3282.9712206854015
6,15,53.608096150022206,302.8080145964924,211.41309795448421,3283.044043380555
7,15,52.25771814670553,301.92152737636803,209.47888141588336,3282.354896683575
8,15,54.07199382283156,302.6863451565181,210.51597884735182,3282.9309867088114
9,15,52.530807067570954,301.77751875218047,210.94964863607305,3283.758055519926
10,15,52.93346350254537,302.86350723407156,209.525602140665,3283.9054326179685
11,15,53.94924390153709,302.572801189814,210.41022896850805,3283.274327061698
12,15,52.35792571191128,301.7686650483513,209.8793187262905,3283.691597529873
13,15,52.79433518589016,302.44015309704264,211.08956237855242,3283.74887296036
14,15,52.571064877032654,301.776285995536,210.8649779889411,3283.185254872311
15,15,53.23247895715193,302.55357248327937,210.75477678889914,3283.82761907936
16,15,52.891811713176736,302.554216652434,210.56169769832275,3283.762774622414
17,15,54.15634245331394,301.772381733759,210.65713279910725,3284.17888386908
18,15,52.77641727179637,302.38618892728107,210.86787554422324,3284.1525351798346
19,15,53.3478348470766,303.2274400543166,211.2013491982672,3284.378277450005
0,20,68.35992340046323,290.5546277454565,203.55738502883239,3228.890217559474
1,20,67.59073357201245,290.4010301072102,204.15313608638078,3230.363100919853
2,20,66.6923064682031,290.2536341372324,203.58263124756158,3229.0596765492837
3,20,66.39238391544637,290.4149321128956,203.3239989419108,3229.7136525563137
4,20,67.40184649653274,291.13903415192937,203.12345042369105,3229.398011292585
5,20,67.33427429400545,290.28004860510634,203.41032530930764,3229.9963421845105
6,20,66.72928554287729,290.7513018096159,202.3411835190725,3229.663024011548
7,20,68.24174716202683,289.65658380698414,202.61313521551972,3229.7069677979835
8,20,66.93235379660096,291.0820631462727,202.70094788217847,3230.0022574147074
9,20,67.45017118758108,290.9235504822794,203.18450125480044,3230.6108177283327
10,20,67.0111122292965,290.32666917514035,203.4319501323012,3230.3807098551733
11,20,67.86708499834313,290.5836723768419,202.59551210470892,3230.255341411776
12,20,67.44171918075438,290.697542845312,202.61828893562821,3229.7203599646073
13,20,67.41119172423025,290.97262341542444,203.60636887623863,3229.8268809324272
14,20,67.82377948452637,290.6870029538887,202.05918605893038,3229.98206434226
15,20,67.9646985151401,290.9459548456702,202.4891170741465,3230.2451216106456
16,20,67.03861134291638,289.8262725389202,202.69944065394114,3230.67730393212
17,20,67.09219130640086,290.36854453976173,202.1926155513402,3230.2443143351547
18,20,66.48063251721514,290.48445884385455,204.00638481453953,3230.37889642293
19,20,67.28530779613544,291.04958780556774,202.6240181896817,3231.08516939884
0,25,81.56247133155902,280.11722976453717,195.23875037504993,3181.2263709912845
1,25,81.20228392095255,280.192708414998,195.91701516321677,3181.75957716182
2,25,80.57597364334696,279.72994624241176,196.33617551733454,3180.8370763543535
3,25,80.1958330479966,280.8989833930207,196.2064966570131,3180.4391573509693
4,25,81.20029664290409,279.78578786725296,195.758208175184,3181.014129610211
5,25,80.95701653365789,280.2338508965016,195.77459311560094,3181.331570625867
6,25,81.19746520393682,280.1055800868046,195.4874633129767,3180.761311233129
7,25,80.6898032979402,279.2643930574425,195.03289196268045,3181.4175632081915
8,25,81.39122662362091,279.8846110702481,195.39205442742195,3179.835659117387
9,25,80.87595201394721,279.79236439747484,195.06805156669802,3182.022876053677
10,25,81.26993629175038,279.86845842361384,196.52727424538026,3181.0589348100016
11,25,81.13595762462494,279.7285475131391,195.92386304193548,3182.6701712458625
12,25,81.25129662972523,279.0517216495357,195.6728590663485,3181.829288590388
13,25,80.09674890552058,279.2329224476576,195.386379054601,3181.242103595778
14,25,81.38740235803064,280.1220039696867,195.97120392994552,3181.6161749352386
15,25,81.47908308864942,279.0446047445101,195.88287210286893,3181.6203168252077
16,25,80.72046288296795,279.4539626588225,196.4628279512429,3181.436513314952
17,25,81.44376185520993,280.3293804188365,195.50810138076082,3181.4297362649195
18,25,80.66569977262151,279.658324967145,195.60136389510131,3180.8324177754025
19,25,79.73187696587229,278.96696345806,195.6914470754732,3181.849496512657
0,30,94.01018726653089,269.68728139354585,188.70905144584546,3136.691781161182
1,30,92.84231363105657,270.01169971328164,188.90318364040294,3136.832174323318
2,30,93.53856974165782,270.25852151972015,189.71844381600602,3136.823054748655
3,30,93.02183565623031,268.9730517327105,188.92328235170456,3136.6516180770655
4,30,93.48165858983931,269.0025087418708,190.20660253467867,3136.555253603753
5,30,93.61848819003544,269.4831543943845,189.96122300635227,3136.0807644675615
6,30,94.07683867502621,269.600533257616,190.02994678905364,3136.4368823914956
