Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
60,60,149.77038349196397,224.50833805522987,158.29339392457592,2938.955369946629
61,60,149.01686764883374,224.35463453987393,159.2496469835689,2938.937618742527
62,60,149.99672583714298,224.14501964863862,158.97577207958875,2938.2035142795685
63,60,149.59161425850886,224.1583640563533,158.73239393371725,2938.092908627218
64,60,148.44071079639363,223.52186245095808,158.68060386336074,2937.2523747067357
65,60,149.2631402054252,225.13243789772076,159.1393122678217,2936.5763355570284
66,60,149.20510721025803,224.94482975636828,158.9419582396758,2935.4018413443173
67,60,149.33639095321087,224.3737755558183,159.0864451751247,2935.8525960258385
68,60,149.4198497252471,223.37902135515154,159.168861840226,2935.458316665491
69,60,149.35411602852378,223.66913823047898,159.5967459062967,2934.7657925529916
70,60,149.11212587920434,224.6075402148129,158.74316541286862,2934.659924801658
71,60,149.45788044524775,224.3738974676011,160.14122838891927,2934.120318161572
72,60,150.00470592474775,224.13515557438637,157.99400885848968,2934.1771257162573
73,60,148.88733607428563,224.39572326632296,158.65414886534896,2933.304431035321
74,60,148.41395251966682,224.29247808652312,159.2792299834519,2933.2601485164996
75,60,149.98395970717192,223.50990509466214,159.42923669274595,2933.7648906143577
76,60,149.32243619000062,224.8456088505126,159.59367408031676,2932.9240171496394
77,60,149.53649372248768,224.3637300419529,158.5720475344919,2932.6624405411944
78,60,149.26979244533635,224.5711266202056,158.36145419786908,2932.9190243355893
79,60,148.02006428733685,224.32379395281677,158.42500502567253,2932.1360849072976
80,60,149.1641366777633,224.03576917829204,159.09686615210262,2931.6839544967033
81,60,149.46824429633722,224.49967430812538,159.34081913316925,2932.008541868042
82,60,149.7772871460254,223.90538744207558,158.4255053408307,2931.5265954618512
83,60,149.4981764812566,224.51228233861286,159.30935855812336,2929.870866506907
84,60,150.0521376577304,224.343110930962,159.5143623432702,2930.671993442657
85,60,150.2135821219958,223.58717556380532,159.16766909237788,2930.756747412232
86,60,148.926280554499,223.93276779076018,159.5688334323703,2931.020492199943
87,60,149.11900788348711,224.1820673807979,159.58781921381348,2931.0882946932898
88,60,148.40255522508667,223.70447138582801,158.04728382186312,2930.293706409524
89,60,150.16909706398312,224.15420594568982,158.81094206227635,2930.360293706768
90,60,149.46489024191752,223.91955807315256,158.61835734885784,2929.6937680083283
91,60,150.15233413154533,223.4019904385877,159.30588850258684,2930.7303260692115
92,60,149.39489254914582,223.8242982886215,159.36087905624652,2929.3242213341105
93,60,150.1744631563797,223.58819611539846,159.3081849657319,2929.9225821127707
94,60,149.35766137175932,224.16032747059987,158.599582585758,2929.3777629975716
95,60,148.39448552900978,223.84218409660787,159.31663722300493,2929.456170457063
96,60,149.86480154518222,225.21427886580395,159.16087928697598,2929.381907500894
97,60,149.87776420421167,224.7603576208894,159.2642656273589,2928.550324065523
98,60,149.19723600933517,224.40664035348638,158.78957971863932,2929.3125455358236
99,60,149.06934223251548,224.34838875935623,158.96106937098955,2929.267408314916
100,60,149.66257374767318,224.85212833863395,158.9658976495471,2928.7650037526205
101,60,149.92381417042574,223.93220696312724,159.41835501903856,2929.283675081422
102,60,149.84090920398876,224.53164106970203,160.03200759731348,2928.54914014156
103,60,149.57240372128294,225.04964735567697,158.611059664273,2928.3070914146097
104,60,149.1842873844251,224.37628336470374,158.69253961064703,2928.2600895281844
105,60,149.9132658213017,223.38869775532342,159.23452966002944,2928.9036211580997
106,60,149.47094980932644,224.09205003171775,159.01133457438974,2929.2403170731154
107,60,150.4597703401294,223.5270180424355,158.7421568041245,2927.763575698339
108,60,149.3235758542989,224.14624039709318,159.33179637927174,2928.555719044715
109,60,149.63677719580426,224.7121756873017,159.69672357433154,2928.1976874754314
110,60,149.55626177816157,223.3689656644606,159.74706094776423,2928.067030791656
111,60,149.6027937184122,224.5138778408424,158.74065750755,2928.2619396820064
112,60,149.72519703849713,224.18109691630238,158.15064285667594,2928.340948372606
113,60,149.6297384906391,224.7766844196526,158.51557319646886,2927.6334302995365
114,60,149.6387791360373,224.82366813502207,159.96453978419703,2928.6799745301423
115,60,149.63655153024035,223.8723536638135,159.25947089186278,2928.0459501740247
116,60,149.54254074886234,224.1199919045618,159.31536450052494,2927.694458981376
117,60,149.81711821311072,224.1383652031054,158.3978544750043,2928.5051372614944
118,60,149.12068400328508,224.7805208526958,159.14424269157504,2927.823430178615
119,60,150.2708772951277,223.69391547616834,158.98192882456598,2926.7761567315865
120,60,149.11269751692623,224.22545609113152,158.08823104631426,2928.2668239443265
121,60,150.20511235066724,224.3752137923418,158.89722541878118,2928.878293619212
122,60,149.29270395778917,225.01011582202688,158.69913410098647,2928.651517859548
123,60,149.14516367299228,224.7631361873615,159.31093572858808,2927.373221357433
124,60,148.8670710158361,224.1448008081889,159.52889925865867,2927.276752803186
125,60,149.47079963268175,223.76983738439841,158.73968608290818,2927.6753477529473
126,60,149.9301321084259,223.5006372364838,158.72621634797457,2927.768822554867
